datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,City,Temp_Range,Heat_Index,Severity_Score,Condition_Code,Month,Season,Day_of_Week,Is_Weekend,Health_Risk_Score
2024-09-07,1725692400.0,106.1,91.0,98.5,104.0,88.1,95.9,51.5,21.0,0.0,5.0,0.0,,0.0,0.0,26.3,13.7,107.3,1009.2,25.0,10.0,261.4,22.5,9.0,10.0,06:06:50,1725714410.0,18:44:53,1725759893.0,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KSDL', 'KDVT', 'AZM15', 'KPHX']",comb,Phoenix,15.099999999999994,95.91870310999995,4.43,,9.0,Fall,Saturday,True,10.522170310999996
2024-09-08,1725778800.0,103.9,87.0,95.4,100.5,84.7,92.3,48.7,21.5,0.0,3.0,0.0,,0.0,0.0,20.8,12.8,101.5,1008.8,13.5,10.1,293.3,25.2,9.0,10.0,06:07:30,1725800850.0,18:43:32,1725846212.0,0.19,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,16.900000000000006,92.28131624140006,3.88,0.0,9.0,Fall,Sunday,True,10.062331624140006
2024-09-09,1725865200.0,105.0,83.9,94.7,99.9,81.6,90.6,41.7,16.9,0.0,0.0,0.0,,0.0,0.0,18.3,10.3,90.8,1009.4,6.2,10.1,327.0,28.2,9.0,10.0,06:08:10,1725887290.0,18:42:10,1725932530.0,0.22,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,21.099999999999994,90.5991651058291,3.63,0.0,9.0,Fall,Monday,False,9.67338651058291
2024-09-10,1725951600.0,106.1,81.2,93.9,100.6,79.5,89.8,39.1,15.7,0.012,0.0,4.17,['rain'],0.0,0.0,10.5,5.4,130.1,1006.8,4.9,12.5,276.8,24.0,9.0,10.0,06:08:49,1725973729.0,18:40:48,1726018848.0,0.25,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,24.89999999999999,89.6388106900291,2.8512000000000004,0.0,9.0,Fall,Tuesday,False,9.411519469002911
2024-09-11,1726038000.0,106.1,82.1,94.0,101.0,80.0,90.0,40.1,15.9,0.008,0.0,4.17,['rain'],0.0,0.0,15.9,8.1,201.6,1001.8,5.7,15.0,274.9,23.7,9.0,10.0,06:09:29,1726060169.0,18:39:26,1726105166.0,0.29,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,24.0,89.76041382170003,3.3908,0.0,9.0,Fall,Wednesday,False,9.515178582170003
2024-09-12,1726124400.0,103.0,81.6,91.5,98.1,79.9,87.9,41.6,18.4,0.0,0.0,0.0,,0.0,0.0,21.5,10.7,201.9,1000.8,4.0,15.0,272.7,23.6,9.0,10.0,06:10:09,1726146609.0,18:38:04,1726191484.0,0.32,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,21.40000000000001,87.60290690670004,3.95,0.0,9.0,Fall,Thursday,False,9.487090690670003
2024-09-13,1726210800.0,101.2,77.6,89.3,96.9,77.6,86.4,42.6,20.4,0.0,0.0,0.0,,0.0,0.0,14.3,7.2,192.9,1006.3,7.2,15.0,269.5,23.1,9.0,10.0,06:10:49,1726233049.0,18:36:41,1726277801.0,0.36,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,23.60000000000001,85.71988263588409,3.2300000000000004,0.0,9.0,Fall,Friday,False,9.23090826358841
2024-09-14,1726297200.0,99.4,78.2,89.1,96.1,78.2,86.8,48.4,25.3,0.004,6.0,4.17,['rain'],0.0,0.0,12.1,5.4,224.8,1008.7,9.6,15.0,262.5,22.6,9.0,10.0,06:11:29,1726319489.0,18:35:19,1726364119.0,0.39,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,21.200000000000003,86.11250590362911,3.0104,0.0,9.0,Fall,Saturday,True,9.37288179036291
2024-09-15,1726383600.0,100.1,82.1,92.0,100.6,81.5,92.3,60.3,35.8,0.012,12.9,4.17,['rain'],0.0,0.0,19.0,11.6,254.3,1007.3,1.8,14.0,259.9,22.3,8.0,30.0,06:12:09,1726405929.0,18:33:56,1726450436.0,0.42,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,18.0,92.16758603040012,3.5012,0.0,9.0,Fall,Sunday,True,10.470188203040012
2024-09-16,1726470000.0,99.6,86.1,92.2,99.7,87.4,93.0,62.2,37.8,0.0,12.9,0.0,,0.0,0.0,17.7,12.1,222.5,1006.8,12.2,15.0,245.3,21.3,8.0,30.0,06:12:49,1726492369.0,18:32:33,1726536753.0,0.46,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,13.5,93.20895235529596,3.37,0.0,9.0,Fall,Monday,False,10.594755235529597
2024-09-17,1726556400.0,100.7,85.7,92.2,98.5,85.2,91.2,57.3,31.8,0.0,19.4,0.0,,0.0,0.0,21.5,18.3,234.6,1005.6,34.7,15.0,246.5,21.2,8.0,10.0,06:13:29,1726578809.0,18:31:10,1726623070.0,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,Phoenix,15.0,91.13188727945612,3.75,,9.0,Fall,Tuesday,False,10.305688727945611
2024-09-18,1726642800.0,98.3,83.2,90.1,93.5,80.7,86.4,39.2,17.4,0.0,6.5,0.0,,0.0,0.0,15.7,10.1,247.2,1007.1,0.0,15.0,267.3,23.1,9.0,10.0,06:14:09,1726665249.0,18:29:47,1726709387.0,0.52,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,15.099999999999994,86.20360304705606,3.37,0.0,9.0,Fall,Wednesday,False,9.206740304705606
2024-09-19,1726729200.0,97.4,81.8,89.1,92.2,79.6,85.3,29.0,12.4,0.0,6.5,0.0,,0.0,0.0,12.5,8.7,258.9,1007.8,9.6,15.0,271.1,23.4,9.0,10.0,06:14:50,1726751690.0,18:28:24,1726795704.0,0.56,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,15.600000000000009,85.14708197583606,3.05,0.0,9.0,Fall,Thursday,False,8.892908197583605
2024-09-20,1726815600.0,94.6,82.5,87.9,89.9,80.1,84.4,35.5,15.8,0.004,6.5,4.17,['rain'],0.0,0.0,15.4,9.8,238.1,1007.4,92.0,15.0,175.8,15.3,6.0,10.0,06:15:30,1726838130.0,18:27:01,1726882021.0,0.59,Overcast,Cloudy skies throughout the day.,cloudy,,fcst,Phoenix,12.099999999999994,84.20944151646408,2.7404,,9.0,Fall,Friday,False,8.853927351646409
2024-09-21,1726902000.0,93.6,77.4,85.8,89.0,77.4,83.1,28.7,13.7,0.0,3.2,0.0,,0.0,0.0,14.1,9.2,271.6,1009.3,1.8,15.0,268.6,23.3,9.0,10.0,06:16:10,1726924570.0,18:25:39,1726968339.0,0.63,Clear,Clear conditions throughout the day.,clear-day,,fcst,Phoenix,16.19999999999999,82.48084148677607,3.21,0.0,9.0,Fall,Saturday,True,8.687854148677607
2024-09-07,1725692400.0,89.0,62.1,73.3,88.6,62.1,73.3,59.8,66.3,0.0,0.0,0.0,,0.0,0.0,16.1,9.2,311.1,1012.2,12.0,10.0,267.7,23.4,9.0,10.0,06:43:31,1725716611.0,19:26:34,1725762394.0,0.16,Clear,Clear conditions throughout the day.,clear-day,"['KSJC', 'KLVK', 'E6873', 'KHWD', 'KWVI', 'KOAK']",comb,San Jose,26.9,75.84249614266135,3.41,0.0,9.0,Fall,Saturday,True,9.845079614266137
2024-09-08,1725778800.0,89.0,60.0,72.4,87.9,60.0,72.3,57.6,62.5,0.0,0.0,0.0,,0.0,0.0,13.9,8.1,310.2,1012.1,15.6,9.8,279.0,24.1,9.0,10.0,06:44:20,1725803060.0,19:25:03,1725848703.0,0.19,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,29.0,75.92701658370012,3.1900000000000004,0.0,9.0,Fall,Sunday,True,9.586451658370011
2024-09-09,1725865200.0,88.1,63.1,73.1,87.4,63.1,73.0,57.4,59.9,0.0,0.0,0.0,,0.0,0.0,16.1,9.2,296.7,1013.0,11.0,10.1,311.5,27.0,9.0,10.0,06:45:10,1725889510.0,19:23:32,1725935012.0,0.22,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,24.999999999999996,76.45640756034118,3.41,0.0,9.0,Fall,Monday,False,9.688230756034118
2024-09-10,1725951600.0,79.4,59.6,67.8,79.4,59.6,67.8,57.2,70.7,0.0,0.0,0.0,,0.0,0.0,17.4,9.8,290.2,1012.5,18.8,12.4,274.7,23.8,9.0,10.0,06:45:59,1725975959.0,19:22:01,1726021321.0,0.25,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,19.800000000000004,73.51643181157598,3.54,0.0,9.0,Fall,Tuesday,False,9.8544231811576
2024-09-11,1726038000.0,77.3,57.6,66.3,77.3,57.6,66.3,56.8,73.1,0.0,4.0,0.0,,0.0,0.0,23.0,13.4,273.9,1009.6,17.3,15.0,264.0,22.6,8.0,10.0,06:46:48,1726062408.0,19:20:29,1726107629.0,0.29,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,19.7,72.90603255502886,3.9,0.0,9.0,Fall,Wednesday,False,10.141503255502885
2024-09-12,1726124400.0,79.2,57.8,67.4,79.2,57.8,67.4,55.6,68.3,0.0,5.0,0.0,,0.0,0.0,17.9,10.7,285.8,1007.0,14.2,15.0,262.2,22.6,8.0,10.0,06:47:38,1726148858.0,19:18:57,1726193937.0,0.32,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,21.40000000000001,74.30085574530415,3.39,0.0,9.0,Fall,Thursday,False,9.745455574530414
2024-09-13,1726210800.0,83.2,58.9,69.6,82.2,58.9,69.5,54.2,60.5,0.0,0.0,0.0,,0.0,0.0,16.1,8.9,287.5,1007.4,5.9,15.0,263.2,22.5,8.0,10.0,06:48:27,1726235307.0,19:17:25,1726280245.0,0.36,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,24.300000000000004,75.81915810730015,3.21,0.0,9.0,Fall,Friday,False,9.523965810730015
2024-09-14,1726297200.0,81.4,59.4,68.8,81.3,59.4,68.8,55.5,64.2,0.0,1.0,0.0,,0.0,0.0,16.6,9.8,263.1,1010.3,8.9,14.9,259.1,22.3,8.0,10.0,06:49:17,1726321757.0,19:15:53,1726366553.0,0.39,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,22.000000000000007,75.16348200137604,3.26,0.0,9.0,Fall,Saturday,True,9.609268200137604
2024-09-15,1726383600.0,78.3,59.8,66.8,78.3,59.8,66.8,47.3,52.9,0.0,3.2,0.0,,0.0,0.0,9.8,8.9,256.5,1011.5,3.1,14.9,255.1,22.0,8.0,10.0,06:50:06,1726408206.0,19:14:21,1726452861.0,0.42,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,18.5,77.56033359368409,2.58,0.0,9.0,Fall,Sunday,True,9.12085335936841
2024-09-16,1726470000.0,81.2,59.3,68.9,79.6,59.3,68.6,44.4,43.5,0.0,0.0,0.0,,0.0,0.0,7.8,8.1,287.5,1010.1,8.6,15.0,249.6,21.7,8.0,10.0,06:50:56,1726494656.0,19:12:49,1726539169.0,0.46,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,21.90000000000001,77.26954857032499,2.38,0.0,9.0,Fall,Monday,False,8.762254857032499
2024-09-17,1726556400.0,82.3,60.9,68.5,80.2,60.9,68.4,46.6,47.6,0.0,0.0,0.0,,0.0,0.0,8.5,10.3,279.9,1009.1,14.2,14.9,245.6,21.3,8.0,10.0,06:51:45,1726581105.0,19:11:16,1726625476.0,0.5,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,21.4,77.32153682110014,2.45,0.0,9.0,Fall,Tuesday,False,8.898353682110015
2024-09-18,1726642800.0,76.9,57.6,64.9,76.9,57.6,64.9,49.2,58.3,0.0,0.0,0.0,,0.0,0.0,9.2,10.7,277.8,1011.5,20.0,14.9,241.5,20.9,8.0,10.0,06:52:35,1726667555.0,19:09:44,1726711784.0,0.52,Clear,Becoming cloudy in the afternoon.,clear-day,,fcst,San Jose,19.300000000000004,77.801748442029,2.52,0.0,9.0,Fall,Wednesday,False,9.2493348442029
2024-09-19,1726729200.0,75.5,57.6,64.7,75.5,57.6,64.7,48.5,57.7,0.0,3.2,0.0,,0.0,0.0,8.3,8.7,290.8,1012.7,0.1,14.8,240.3,20.9,8.0,10.0,06:53:25,1726754005.0,19:08:11,1726798091.0,0.56,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Jose,17.9,78.03617693414107,2.43,0.0,9.0,Fall,Thursday,False,9.205727693414106
